City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
460,fisterra,42.9049,-9.2629,12.08,63,100,1.53,ES,1712695111
461,kalmunai,7.4167,81.8167,26.93,72,100,2.45,LK,1712695111
462,retreat,38.8245,-85.8533,21.36,80,100,1.79,US,1712695111
463,magadan,59.5667,150.8,-9.71,82,8,3.05,RU,1712695112
464,al burayqah,30.4062,19.5739,18.01,68,98,6.36,LY,1712695112
465,emerald,-23.5333,148.1667,15.19,66,4,4.52,AU,1712695112
466,bardai,11.65,7.2333,26.69,42,96,6.04,NG,1712695113
467,zermatt,46.0213,7.7491,2.32,100,100,9.77,CH,1712695113
468,santa terezinha,-29.9002,-50.0904,23.54,85,0,1.55,BR,1712695113
469,boa vista,2.8197,-60.6733,34.99,36,40,7.72,BR,1712695114
470,taoudenni,22.6783,-3.9836,32.9,14,0,3.74,ML,1712695114
471,eyl,7.9803,49.8164,27.28,75,27,5.29,SO,1712694881
472,kolonia,50.9333,6.95,11.09,73,20,4.63,DE,1712695114
473,shenjiamen,29.9576,122.298,11.45,86,99,2.33,CN,1712695115
474,higuera de zaragoza,25.95,-109.2833,24.12,28,0,6.42,MX,1712695115
475,chibougamau,49.9168,-74.3659,10.79,28,0,5.66,CA,1712695115
476,pyhajarvi,67.0701,27.2176,0.84,96,100,3.77,FI,1712695115
477,simao dias,-10.7383,-37.8111,26.32,74,20,5.26,BR,1712695116
478,san juan de los morros,9.9115,-67.3538,36.15,22,24,3.38,VE,1712695116
479,al qusiyah,27.4402,30.8184,20.15,31,0,4.47,EG,1712695116
480,esbjerg,55.4667,8.45,10.05,84,75,10.29,DK,1712695116
481,belmonte,-15.8631,-38.8828,25.4,88,67,2.54,BR,1712695117
482,gilgit,35.9221,74.3087,4.72,45,100,1.26,PK,1712695117
483,antonio enes,-16.2325,39.9086,26.39,86,98,2.57,MZ,1712695117
484,fayetteville,35.0527,-78.8784,22.49,62,20,4.63,US,1712694837
485,akureyri,65.6835,-18.0878,-0.04,69,75,2.06,IS,1712695118
486,xinyuan,37.3,99.0,-4.93,81,8,1.37,CN,1712695118
487,lahij,13.1667,44.5833,26.26,68,85,2.78,YE,1712695118
488,bouca,6.5105,18.2733,26.85,50,7,1.52,CF,1712695119
489,tosontsengel,48.7567,98.2839,1.97,64,100,1.11,MN,1712695119
490,vilyuchinsk,52.9306,158.4028,3.29,99,100,2.51,RU,1712695119
491,kapa'a,22.0752,-159.319,25.99,78,0,7.2,US,1712694837
492,selfoss,63.9331,-20.9971,2.25,91,100,3.66,IS,1712695120
493,newman,37.3138,-121.0208,23.36,45,0,1.34,US,1712694858
494,petrozavodsk,61.7849,34.3469,0.84,93,55,8.94,RU,1712695120
495,lamarque,-39.423,-65.7021,16.03,18,59,3.04,AR,1712695121
496,korla,41.7597,86.1469,13.49,32,60,0.66,CN,1712695121
497,murghob,38.1702,73.9667,-8.5,60,92,2.77,TJ,1712695121
498,dunda,-8.1167,34.25,19.55,95,99,0.45,TZ,1712695121
499,daulatpur,26.5015,67.9706,30.76,18,100,3.21,PK,1712695122
500,tshikapa,-6.4167,20.8,22.01,90,58,0.51,CD,1712695122
501,dunedin,-45.8742,170.5036,15.45,99,100,2.69,NZ,1712695122
502,nizhneudinsk,54.9076,99.0276,1.46,90,82,1.61,RU,1712695122
503,keren,15.7778,38.4581,24.56,52,54,1.08,ER,1712695123
504,korsakov,46.6328,142.7813,-0.65,74,70,4.88,RU,1712695123
505,greenville,35.6127,-77.3663,22.29,62,0,2.57,US,1712694930
506,mahibadhoo,3.7833,72.9667,29.22,73,47,2.71,MV,1712695123
507,muravlenko,63.7898,74.523,-23.47,95,6,4.18,RU,1712695124
